,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
0,1.032121590428927,13.021202182933116,5.053185689830068,0.8407753614939684,69.81168039221973,0.034397400288133345,8.376316369445055,2.2737950728574385,-0.15492477983359476,1
1,1.5176100000000001,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1
2,1.5161799999999999,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1
3,1.9279279469817858,12.598375675824075,4.216567723733063,0.22572471527360838,73.22747529442508,0.39819824195482756,6.976057516180414,0.9043807808961117,0.9694808762936583,1
4,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,1
5,2.158938557695054,14.144051531145239,4.1464144436483865,1.4834342722078455,71.27550540456399,0.652500383476234,8.240319992640684,0.7216340076137963,-0.5915913356266223,1
6,1.9276979469817856,12.688375675824075,4.126567723733063,0.07572471527360825,73.70747529442508,0.40819824195482757,6.926057516180413,0.9043807808961117,0.9694808762936583,1
7,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,1
8,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,1
9,1.9278179469817855,12.388375675824074,4.126567723733063,0.29572471527360844,73.60747529442507,0.39819824195482756,7.156057516180414,0.9043807808961117,1.0794808762936583,1
10,0.6165536434471414,12.712826507109042,3.4966179660970047,2.36505064622036,70.61420509779465,0.8161991583333058,8.960258853264643,1.3694142919613268,-0.8844056561272531,1
11,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1
12,1.9261579469817858,12.268375675824075,3.9565677237330634,0.33572471527360825,73.89747529442508,0.5181982419548276,6.806057516180414,0.9043807808961117,1.2094808762936582,1
13,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1
14,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,1
15,2.57085650467684,13.552427206969314,4.602982167381449,0.029158987481453735,72.16298069898906,0.4206986254310615,7.316377508821097,1.626014788509908,0.11788954066703605,1
16,1.5178399999999999,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,1
17,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,1
18,1.9293779469817856,13.288375675824074,4.256567723733063,0.11572471527360828,72.73747529442508,-0.11180175804517237,7.646057516180414,0.9043807808961117,0.9694808762936583,1
19,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,1
20,0.6183436434471413,12.812826507109042,3.5866179660970046,2.29505064622036,70.16420509779465,0.6861991583333057,9.390258853264642,1.3694142919613268,-0.9344056561272531,1
21,1.9299279469817856,14.158375675824074,4.276567723733063,-0.7742752847263916,72.63747529442507,-0.14180175804517237,7.756057516180413,0.9043807808961117,0.9694808762936583,1
22,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,1
23,1.5175100000000001,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,1
24,1.927467946981786,12.768375675824075,4.026567723733063,0.08572471527360825,73.46747529442507,0.3281982419548276,7.186057516180413,0.9043807808961117,0.9694808762936583,1
25,2.160618557695054,14.33405153114524,4.076414443648386,1.0734342722078454,71.30550540456399,0.662500383476234,8.700319992640683,0.7216340076137963,-0.8515913356266223,1
26,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,1
27,1.9274779469817855,12.258375675824073,4.006567723733063,0.2657247152736084,73.65747529442508,0.38819824195482766,7.186057516180413,0.9043807808961117,0.9694808762936583,1
28,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,1
29,1.5178399999999999,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,1
30,1.0287915904289269,12.031202182933116,4.123185689830068,1.0407753614939685,71.11168039221972,0.5843974002881334,8.316316369445055,2.2737950728574385,-0.014924779833594859,1
31,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1
32,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1
33,1.9277979469817854,11.958375675824074,3.9965677237330635,0.31572471527360824,74.00747529442508,0.4281982419548276,7.306057516180414,0.9043807808961117,1.0294808762936583,1
34,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,1
35,2.158648557695054,14.644051531145239,3.9864144436483864,1.0734342722078454,71.04550540456398,0.572500383476234,8.740319992640684,0.7216340076137963,-0.8515913356266223,1
36,1.9293579469817859,13.278375675824075,4.056567723733063,0.2557247152736084,72.42747529442508,0.3381982419548276,7.536057516180413,1.0143807808961118,0.9694808762936583,1
37,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,1
38,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1
39,1.9323979469817858,13.598375675824075,4.346567723733063,-0.5942752847263917,72.38747529442507,-0.061801758045172364,8.326057516180413,0.9043807808961117,0.9694808762936583,1
40,0.6187736434471413,12.782826507109041,3.5366179660970047,1.92505064622036,70.44420509779465,0.7861991583333058,9.640258853264642,1.3694142919613268,-1.124405656127253,1
41,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0,1
42,1.9280579469817858,12.598375675824075,3.9165677237330634,0.2657247152736084,73.37747529442508,0.4181982419548276,7.346057516180413,0.9043807808961117,0.9694808762936583,1
43,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0,1
44,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,1
45,2.5722465046768397,14.232427206969314,4.542982167381449,0.14915898748145384,70.87298069898907,0.3906986254310616,7.926377508821097,1.626014788509908,0.11788954066703605,1
46,1.5186899999999999,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,1
47,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1,1
48,1.9324979469817856,12.598375675824075,4.296567723733063,-0.2742752847263916,72.60747529442507,-0.04180175804517236,8.776057516180412,0.9043807808961117,0.9694808762936583,1
49,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,1
50,0.6240436434471414,13.712826507109042,3.7566179660970054,1.3150506462203602,69.16420509779465,0.23619915833330574,10.930258853264643,1.3694142919613268,-0.9644056561272532,1
51,1.9295279469817856,12.588375675824073,3.8565677237330633,0.21572471527360837,72.97747529442508,0.4281982419548276,7.896057516180414,0.9043807808961117,1.0794808762936583,1
52,1.5180799999999999,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1
53,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,1
54,1.9280479469817857,12.598375675824075,3.3365677237330633,0.22572471527360838,73.59747529442508,0.3381982419548276,7.776057516180413,0.9043807808961117,1.0594808762936583,1
55,2.160668557695054,13.80405153114524,3.246414443648386,1.1534342722078454,72.00550540456399,0.572500383476234,9.230319992640684,0.7216340076137963,-0.6115913356266223,1
56,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,1
57,1.9285079469817856,12.258375675824073,4.006567723733063,0.22572471527360838,73.56747529442508,0.4281982419548276,7.186057516180413,0.9043807808961117,0.9694808762936583,1
58,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,1
